Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
t-rating-student,Chrome 65.0.3325.162,,2018-03-28 17:26:10,2018-03-28 17:26:22,11.649s,FAILED
,,,,,,
Test Cases/t-rating-student,Chrome 65.0.3325.162,,2018-03-28 17:26:11,2018-03-28 17:26:21,9.655s,FAILED
openBrowser,Chrome 65.0.3325.162,,2018-03-28 17:26:11,2018-03-28 17:26:18,6.609s,PASSED
navigateToUrl,Chrome 65.0.3325.162,,2018-03-28 17:26:18,2018-03-28 17:26:20,2.048s,PASSED
setText,Chrome 65.0.3325.162,,2018-03-28 17:26:20,2018-03-28 17:26:20,0.301s,PASSED
click,Chrome 65.0.3325.162,,2018-03-28 17:26:20,2018-03-28 17:26:20,0.151s,PASSED
click,Chrome 65.0.3325.162,,2018-03-28 17:26:20,2018-03-28 17:26:21,0.086s,FAILED
